,sentence,label,badspelling sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,ياربي تسهل على كل شاب طموح مجتهد و تحققلوا كل ما يتمناه,RAB,ياربي تسهل علي كل شاب طموح مجتهد و تحققلوا كل ما يتمناه,Maghreb,TRI,Libya,Tripoli,Maghreb,Morocco,Rabat,0.0002042447399248923,6.056792555038867e-05,8.63544192876758e-07,0.00043046082040267263,5.712056252728864e-06,6.54925761274974e-05,0.00012115464712665898,4.520590863071595e-05,0.008324459221935619,3.3505874540146855e-05,0.0002506555084320461,0.001926972627096016,8.854927869077339e-07,0.0014085893270266402,0.002508105684480133,0.015135831275605839,0.00010292251137102017,7.809820333134426e-05,0.00794845832453129,1.0303598190190025e-06,0.3241973924936635,0.005011203065422695,0.0002556612166695049,0.0002496397901732144,0.6316098891681776,2.299763672897372e-05
1,الله يرحم ليكم الوالدين أنا ختكم أرملة بغيت شي مردي الولدين لي يعوني في سبيل الله بي حليب والكوش او شي حوايج واخة اكونو قدام,RAB,الله يرحم ليكم الوالدين انا ختكم ارمله بغيت شي مردي الولدين لي يعوني في سبيل الله بي حليب والكوش او شي حوايج واخه اكونو قدام,Gulf,DOH,Qatar,Doha,Maghreb,Morocco,Rabat,6.195199831483017e-07,6.312261470139006e-06,8.06640611276203e-09,7.196099583764529e-07,8.898200669759596e-07,1.028444867056495e-05,2.7137330060189227e-05,9.202602148089245e-07,3.0677434216207455e-05,1.1788171112916239e-06,2.6980091326087257e-06,0.9810684228425599,0.0014740263321722825,7.332573839989954e-05,8.346948287396502e-07,7.6085741999461515e-06,7.041062445911181e-06,1.5960799692878412e-08,1.8092662015659488e-05,0.0005668833330415627,5.985923701058521e-05,1.4629944314531965e-05,0.00011862173139874905,0.016385145319395004,0.00010733415314503538,1.6712836982234234e-05
2,أو مواد غذائية الله يتبت أجركم الله يرحمنا ويرحمكم دنية وآخرة أنا ساكنه في مراكش,RAB,او مواد غذائيه الله يتبت اجركم الله يرحمنا ويرحمكم دنيه واخره انا ساكنه في مراكش,Gulf,DOH,Qatar,Doha,Maghreb,Morocco,Rabat,2.0502619305008136e-06,2.594207308238727e-06,4.0871043466999316e-07,3.638292537304761e-05,6.162816596639491e-05,0.00024217136376499725,0.00039146626186620345,1.8547830386360346e-06,0.002337576021684003,9.995946786648085e-05,2.42185951305046e-05,0.8199716363229231,1.232678498294989e-06,0.007113634561294285,4.402000276635778e-05,0.00020498383670095984,5.740473265316206e-05,2.922953163103918e-07,0.037411794147383264,2.9586115820684806e-07,0.021291553209194628,0.0004187037041571288,0.008507759528317829,0.0008121712104395155,0.10096268605395396,1.5210908790459759e-06
3,سير الله يسهل عليك ما صعاب و يعطيك ما تمنيت فهاد الليلة,RAB,سير الله يسهل عليك ما صعاب و يعطيك ما تمنيت فهاد الليله,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,1.0642445893913415e-05,0.00025832512824619703,1.906877144768313e-07,3.6898165407733745e-05,3.845026993201128e-07,8.679456203601215e-06,1.1322206231665687e-05,1.384013030234168e-05,0.0002529817619735548,7.701742273878928e-06,3.667239028017502e-05,9.689525819243667e-05,0.0019753437036553927,7.514870695560936e-05,3.606180313157857e-05,5.910816292655359e-05,3.666020958559081e-06,2.54768948367632e-07,3.8642448913562275e-05,0.9096814765861831,0.00010509000061245869,0.00015412768196655275,2.853591184118227e-05,0.025609230132316304,0.005104290009154976,0.05639449018701644
4,بغيت غير شي واحد يكون فايق يسمع هاد الدعيوة,RAB,بغيت غير شي واحد يكون فايق يسمع هاد الدعيوه,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,1.5526312296802085e-08,2.777401898892429e-08,3.115789225517254e-11,3.3733030438272235e-09,3.979580357385009e-11,5.390658967821379e-10,5.198942319481798e-10,3.3046692860606896e-10,1.2322620156843859e-09,1.2616644958227172e-10,4.920440987099864e-09,5.332910780063474e-08,0.0020525540852925402,4.0529255233880344e-10,1.0417482529607339e-10,4.829457466451038e-10,1.368307460232487e-10,1.7710688464437263e-11,7.672286874742023e-10,0.9979473294071398,3.3509367126178946e-10,2.5948302232044985e-09,2.867974671408312e-10,1.4521410924399917e-10,2.968641577578212e-09,5.208151414414238e-10
5,مازالت العنصرية على أصحاب البشرة السوداء,RAB,مازالت العنصريه علي اصحاب البشره السوداء,Maghreb,TRI,Libya,Tripoli,Maghreb,Morocco,Rabat,1.7874312304379309e-06,7.052225049507627e-06,6.2990227181596e-08,6.7881843725622056e-06,4.078050987751557e-07,4.3675502579892885e-06,2.551381025405967e-06,3.816765100132556e-07,7.723166319177631e-05,1.7637434735624758e-06,4.629673592447763e-06,1.4543130485458133e-05,2.5788304802611934e-06,3.162471533719072e-05,2.5017957403469046e-05,1.198952749953883e-05,8.7357363008585e-07,6.219857977952904e-08,1.3013004585737322e-05,7.692666088367177e-07,2.4047580777237102e-05,2.6248860088602366e-05,8.519463230717808e-06,6.283307610519789e-06,0.9997262175621525,1.1866975003522518e-06
6,شحال من واحد دابا متكي على الوسادة ديالو مهموم كيخمم فالمستقبل,RAB,شحال من واحد دابا متكي علي الوساده ديالو مهموم كيخمم فالمستقبل,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,3.203611363422266e-10,0.0005051630009926269,9.329134711040999e-11,9.143343590921214e-10,3.994942825772169e-10,2.715480557760325e-10,2.5094093119554913e-10,5.659494848948036e-11,3.480408400423103e-09,1.0620176301045695e-09,5.640948330606352e-10,1.6013855272733672e-09,0.7491591611586702,4.737987373851943e-09,4.524473601268717e-10,6.048410659096021e-09,3.90480638027651e-11,1.119080761576569e-10,2.9037730035897504e-09,0.25033561878225735,4.793910112910949e-10,1.5139013981003437e-09,3.544778694628049e-10,1.4477202036671213e-09,2.9183086607897413e-08,7.714567179593901e-10
7,معالم بيه غير الله سير الله يسرلك طريقك و يسهل أمورك,RAB,معالم بيه غير الله سير الله يسرلك طريقك و يسهل امورك,Maghreb,TRI,Libya,Tripoli,Maghreb,Morocco,Rabat,1.3898403551354562e-06,3.6212012802655046e-05,3.4781395623568956e-07,3.248851015672681e-06,2.381962797577697e-06,3.91582802283652e-05,1.787804387285813e-05,7.855728052837087e-07,0.0031639428026538504,1.0316130491565696e-05,6.182609418093439e-06,0.00017090872999618584,8.927845906320655e-07,8.779906699636943e-05,6.497825233442252e-06,3.902626914439951e-05,1.614613870317888e-06,3.219948619322697e-08,2.626579429910934e-05,1.7598040231611164e-05,0.0007444987174257122,4.191624999198413e-05,8.063702915594642e-05,0.0006370669488207615,0.99485945635859,3.945451769943646e-06
8,لي باقي سهران يشرفنا بالحي ديالو ولي خارج الرباط يكتب المدينة ديالو مرحبا بكم فالصفحة,RAB,لي باقي سهران يشرفنا بالحي ديالو ولي خارج الرباط يكتب المدينه ديالو مرحبا بكم فالصفحه,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,2.643240918998542e-08,9.767450207848525e-05,4.664523539466419e-10,4.379912185448329e-08,2.461171969379591e-09,1.108764397581314e-08,1.818467055610942e-08,5.8882918600363105e-09,1.979436753636627e-07,9.664829791413982e-09,7.20812208331511e-08,4.6690960546534616e-06,0.015824101651978274,3.6619010415722604e-06,2.170046813693134e-08,1.5265267694624732e-07,1.0562334577391785e-08,1.412081056505037e-09,1.8354717458855612e-07,0.9840654363599824,6.855388199777355e-07,7.786289337103944e-08,2.8184163062998192e-06,1.9789393666862643e-08,8.594451317044372e-08,1.105271503120137e-08
9,الي هبطتي مع هاد الشارع للي فصورة حتى الاخير خاص واحد القنطرة تما باش تخفف على شارع الجيش الملكي,RAB,الي هبطتي مع هاد الشارع للي فصوره حتي الاخير خاص واحد القنطره تما باش تخفف علي شارع الجيش الملكي,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,8.350778527388057e-07,7.686164312167881e-06,3.1509178016413143e-09,2.823002346077268e-06,4.69553542847241e-08,4.525458583063261e-07,2.47511862212292e-07,2.585363045982021e-08,1.2924569374990674e-05,1.1727027681048289e-07,9.996425177258845e-07,1.3409445371400891e-06,0.9483734128254812,1.5921303742597177e-06,4.407158488111891e-07,7.558149588184315e-07,1.6789053276086932e-07,3.6001254978480556e-09,1.4188977616116219e-06,0.03970641668213618,2.636848070633954e-07,2.8584740860643635e-05,1.957363220587881e-06,1.2597783098044465e-05,0.011843315437801996,1.5697441518634734e-06
