,sentence,label,allpredict sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Morocco,Palestine,Qatar,Sudan,Lebanon,Libya,Jordan,Egypt,Tunisia,Yemen,Algeria,Iraq,Syria,Oman,Modern Standard Arabic,Saudi Arabia,Nile Basin,Gulf,Gulf of Aden,Maghreb,Levant,Modern Standard Arabic,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,ياربي تسهل على كل شاب طموح مجتهد و تحققلوا كل ما يتمناه,RAB,ياربي تسهل على كل شاب طموح مجتهد و تحققلوا كل ما يتمناه,Gulf,RIY,Saudi Arabia,Riyadh,Maghreb,Morocco,Rabat,1.1783162479862953e-06,0.0007939397088035129,0.000250391153117941,0.0005663133372086043,8.462673482213425e-06,0.011602724545278562,0.0023961901934254895,1.1164300071682707e-05,0.00021152177068327498,5.5772120995576535e-05,4.3518618202371204e-05,6.226846541964592e-05,9.436000920398131e-05,0.002759705142050752,3.8014823757841705e-06,0.9811386881634325,0.000577477637280287,0.9842110529240209,5.5772120995576535e-05,0.011858943250412195,0.003292952584915197,3.8014823757841705e-06,1.1545021555883938e-05,4.3518618202371204e-05,5.849325973449482e-07,0.0001407297732986851,2.1799206968985696e-06,1.3592491269892135e-05,2.915612093791825e-05,8.462673482213425e-06,0.011382897173501737,8.39944677743919e-06,8.281498764809738e-05,0.000250391153117941,2.4673769316388435e-07,0.0006119156229371054,0.0007939397088035129,0.0005663133372086043,1.9519853211835538e-05,3.8014823757841705e-06,0.002759705142050752,9.31578554822411e-07,0.9805267725404955,0.0022554604201268044,5.5772120995576535e-05,0.00020036666174644022,0.00021982737177682584,1.1155108936834758e-05
1,الله يرحم ليكم الوالدين أنا ختكم أرملة بغيت شي مردي الولدين لي يعوني في سبيل الله بي حليب والكوش او شي حوايج واخة اكونو قدام,RAB,الله يرحم ليكم الوالدين انا ختكم ارملة بغيت شي مردي الولدين لي يعوني في سبيل الله بي حليب والكوش او شي حوايج واخة اكونو قدام,Gulf,DOH,Qatar,Doha,Maghreb,Morocco,Rabat,0.05909717627335311,6.87907132928298e-07,0.9378527970581508,7.224393253644904e-06,7.311806718892761e-07,6.5123858315305e-05,1.235773118742152e-05,1.3360376228173445e-06,0.0027630017471067334,2.9492135867480178e-05,9.386617668820967e-06,2.8689829645167595e-05,2.7122132262026755e-06,1.8291081243030246e-05,1.4098653285679816e-08,0.00011097783690124647,8.560430876462249e-06,0.9380107558059404,2.9492135867480178e-05,0.06193468849644398,1.648903221844177e-05,1.4098653285679816e-08,6.288330064149571e-07,9.386617668820967e-06,7.92643053898643e-09,5.554731887562132e-07,5.995725336462917e-07,6.436634977339366e-06,2.0508688698051923e-05,7.311806718892761e-07,2.7313224307689892e-05,7.285386586320664e-07,2.0833802197877184e-06,0.9378527970581508,0.05275485749768908,7.0943169599782e-05,6.87907132928298e-07,7.224393253644904e-06,1.7445059697763041e-06,1.4098653285679816e-08,1.8291081243030246e-05,0.006342318775664032,4.0034667301464475e-05,1.1802257998665307e-05,2.9492135867480178e-05,0.002748222720580018,3.7810634007615104e-05,1.4779026526715195e-05
2,أو مواد غذائية الله يتبت أجركم الله يرحمنا ويرحمكم دنية وآخرة أنا ساكنه في مراكش,RAB,او مواد غذائية الله يتبت اجركم الله يرحمنا ويرحمكم دنية واخرة انا ساكنه في مراكش,Gulf,DOH,Qatar,Doha,Maghreb,Morocco,Rabat,2.1718813968929796e-06,3.156999962247513e-05,0.876384724381258,0.00015347195005857662,1.9245662534239206e-06,0.0014492471463558956,0.0005163047651675046,5.398086254152721e-05,0.0005073467018156023,0.0009735614932402144,2.9280267461128807e-06,0.00044594753150727773,2.8322574055460693e-05,0.0964607142407763,5.799924055190232e-07,0.022987203886799232,0.00020745281260010383,0.9962785900403408,0.0009735614932402144,0.001961693756314504,0.0005781219050988644,5.799924055190232e-07,2.8635824745349108e-06,2.9280267461128807e-06,2.544810241291244e-07,3.445595729381427e-05,2.921445682901559e-05,0.00010492910793057158,0.0003318029528558502,1.9245662534239206e-06,0.0008394163810756264,2.45119246883825e-05,2.5458991580925783e-05,0.876384724381258,1.7811902245224108e-06,0.0060015430940682435,3.156999962247513e-05,0.00015347195005857662,9.215470720855965e-06,5.799924055190232e-07,0.0964607142407763,3.906911723705686e-07,0.016985660792730988,0.00048184880787369036,0.0009735614932402144,0.0005060838317838738,0.0006098307652802692,1.262870031728462e-06
3,سير الله يسهل عليك ما صعاب و يعطيك ما تمنيت فهاد الليلة,RAB,سير الله يسهل عليك ما صعاب و يعطيك ما تمنيت فهاد الليلة,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,0.921371775846619,5.1137150355747914e-05,0.00011215059505237967,4.2499121548824595e-05,1.4412210267987934e-05,0.0011295451864482722,0.000260814139710976,4.346746425490067e-06,0.07653024792494754,7.844040974251352e-06,0.00021667093372289132,2.309782330050295e-05,5.039557100810213e-05,3.465936367491888e-05,2.6307371617035253e-07,0.0001501402722269493,4.6845867974314665e-05,0.00032004805425475083,7.844040974251352e-06,0.9992482398917376,0.000376759071342814,2.6307371617035253e-07,9.349574119911817e-06,0.00021667093372289132,1.835535763115301e-07,4.1157247449951574e-05,3.4445552056671666e-07,9.481794330923484e-06,1.1889707889252346e-05,1.4412210267987934e-05,0.00027127580830274924,3.818737328611821e-06,4.1045996888190314e-05,0.00011215059505237967,0.0024404599295492924,5.849930010685171e-05,5.1137150355747914e-05,4.2499121548824595e-05,1.7263210803271206e-06,2.6307371617035253e-07,3.465936367491888e-05,0.9189313159170697,9.164097212009759e-05,0.00021965689226102444,7.844040974251352e-06,0.02411297242660113,0.0008582693781455231,0.05241727549834642
4,بغيت غير شي واحد يكون فايق يسمع هاد الدعيوة,RAB,بغيت غير شي واحد يكون فايق يسمع هاد الدعيوة,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,0.9999999071745534,7.74650118175819e-11,4.293002816130675e-08,4.113216883198169e-10,2.6935902754394966e-10,2.8459162760798012e-09,4.569903138453107e-09,1.580593142145713e-10,5.511872233256987e-10,2.595738021828466e-10,2.2142709131810465e-08,8.572160288820212e-10,1.659549688009442e-08,5.584507746112728e-10,1.3213762164709342e-11,5.855464335136012e-10,5.693810025343882e-10,4.4931241398313645e-08,2.595738021828466e-10,0.999999932714366,2.1512224057909058e-08,1.3213762164709342e-11,1.2144696158193334e-08,2.2142709131810465e-08,3.2271702772810505e-11,2.6050000133153476e-09,4.414733200945714e-11,3.7437550848747777e-10,4.0038514888310336e-10,2.6935902754394966e-10,8.940521985702983e-10,8.164027943230365e-11,4.450800721901085e-09,4.293002816130675e-08,0.0019225768567045758,3.231613526512513e-10,7.74650118175819e-11,4.113216883198169e-10,8.245537151143998e-11,1.3213762164709342e-11,5.584507746112728e-10,0.9980773303178488,2.623850808623499e-10,1.9649031251377598e-09,2.595738021828466e-10,1.327282821021325e-10,1.951864077509503e-09,4.1845894122356624e-10
5,مازالت العنصرية على أصحاب البشرة السوداء,RAB,مازالت العنصرية على اصحاب البشرة السوداء,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,0.8861917218166903,0.004461043356642082,0.0034869873284576573,0.0005754362917023983,0.00011677429560922023,0.004195177284994161,0.015364980621529703,0.00044861606480442093,0.0024790163589805897,0.00021822182193582517,0.04285235350597192,0.002049999247111546,0.0041025263099892005,0.004140347577175348,1.664002952932421e-05,0.029300158088876357,0.0010240523565068192,0.03897749224162091,0.00021822182193582517,0.935718268966637,0.024045324583770206,1.664002952932421e-05,0.00032212661521637437,0.04285235350597192,0.00011393100192419234,0.004054190515511738,0.00015895207115046876,0.0009105259357544063,0.001107155262374604,0.00011677429560922023,0.0040771880671544745,0.00017573299172975984,0.003780399694772826,0.0034869873284576573,0.06991853080262592,0.014064758455176426,0.004461043356642082,0.0005754362917023983,3.2318048982535324e-05,1.664002952932421e-05,0.004140347577175348,0.8162731910140644,0.015235399633699933,0.011310790106017965,0.00021822182193582517,0.001786518344635389,0.00011798921783968643,0.0006924980143452009
6,شحال من واحد دابا متكي على الوسادة ديالو مهموم كيخمم فالمستقبل,RAB,شحال من واحد دابا متكي على الوسادة ديالو مهموم كيخمم فالمستقبل,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,0.9999224541161182,2.0292736733948705e-10,5.410649547744565e-10,1.2472066695540679e-09,1.5783476469013103e-11,1.9362115564147595e-09,1.0972442281937205e-09,5.846215988068632e-10,7.153713795361319e-10,7.8983065684947e-11,7.753523195543069e-05,2.540897506707052e-10,3.183223352822271e-10,1.150776388213906e-09,4.0315252534616907e-11,2.4690084394904733e-09,1.831828268360931e-09,4.414939533149541e-09,7.8983065684947e-11,0.9999999919996567,1.6342774072844476e-09,4.0315252534616907e-11,5.337592050585714e-11,7.753523195543069e-05,1.4963937274816756e-10,4.296322136012217e-10,1.8445549434828698e-10,1.3220459631681238e-10,1.1195583058611209e-10,1.5783476469013103e-11,1.6219531793645754e-09,2.5052673171040863e-10,2.6494641477636997e-10,5.410649547744565e-10,0.7495210823638557,2.160562525926115e-09,2.0292736733948705e-10,1.2472066695540679e-09,9.929323767780728e-12,4.0315252534616907e-11,1.150776388213906e-09,0.25040137175226257,3.0844591356435847e-10,6.676120145924988e-10,7.8983065684947e-11,4.1433637262658723e-10,3.1425837705018427e-10,3.0103500690954474e-10
7,معالم بيه غير الله سير الله يسرلك طريقك و يسهل أمورك,RAB,معالم بيه غير الله سير الله يسرلك طريقك و يسهل امورك,Maghreb,TRI,Libya,Tripoli,Maghreb,Morocco,Rabat,1.849082482224323e-05,6.497825233442252e-06,0.00017090872999618584,3.902626914439951e-05,7.855728052837087e-07,0.9980233991612438,4.516510100765681e-05,1.3045907245379083e-05,0.0006410124005907051,8.063702915594642e-05,3.6212012802655046e-05,5.865093797154122e-05,7.572449773228895e-06,2.626579429910934e-05,3.219948619322697e-08,0.0008322977844220816,5.2072176389778596e-05,0.001088123246688918,8.063702915594642e-05,0.9987191143994595,6.002094881961166e-05,3.219948619322697e-08,1.3898403551354562e-06,3.6212012802655046e-05,3.4781395623568956e-07,3.248851015672681e-06,2.381962797577697e-06,3.91582802283652e-05,1.787804387285813e-05,7.855728052837087e-07,0.0031639428026538504,1.0316130491565696e-05,6.182609418093439e-06,0.00017090872999618584,8.927845906320655e-07,8.779906699636943e-05,6.497825233442252e-06,3.902626914439951e-05,1.614613870317888e-06,3.219948619322697e-08,2.626579429910934e-05,1.7598040231611164e-05,0.0007444987174257122,4.191624999198413e-05,8.063702915594642e-05,0.0006370669488207615,0.99485945635859,3.945451769943646e-06
8,لي باقي سهران يشرفنا بالحي ديالو ولي خارج الرباط يكتب المدينة ديالو مرحبا بكم فالصفحة,RAB,لي باقي سهران يشرفنا بالحي ديالو ولي خارج الرباط يكتب المدينة ديالو مرحبا بكم فالصفحة,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,0.9998558587152413,3.4980095100412004e-08,7.532155443982046e-06,2.1729651322246727e-07,8.682836204427689e-09,2.3672896586192146e-07,1.8450486275459407e-07,1.1066742371552817e-08,2.920497023777396e-08,2.3314874092337531e-07,0.00012794076677811824,3.5247409407018316e-08,1.377336471555748e-07,2.1428168986033973e-07,1.539157701316281e-09,7.323946905924976e-06,2.283632555940201e-07,1.510563144917438e-05,2.3314874092337531e-07,0.9999840654159554,3.659014412150086e-07,1.539157701316281e-09,4.228564951106134e-08,0.00012794076677811824,5.530702031647066e-10,5.418703504436574e-08,3.040034290013402e-09,1.2470398636501351e-08,2.164695295203657e-08,8.682836204427689e-09,1.9955729431328077e-07,7.473637878374708e-09,9.544799764451347e-08,7.532155443982046e-06,0.08111031984885039,6.459480054917544e-06,3.4980095100412004e-08,2.1729651322246727e-07,1.1300578184803947e-09,1.539157701316281e-09,2.1428168986033973e-07,0.9187455388663909,8.644668510074322e-07,1.3031782771022834e-07,2.3314874092337531e-07,1.545371419251798e-08,3.717167154864069e-08,1.3751256045255978e-08
9,الي هبطتي مع هاد الشارع للي فصورة حتى الاخير خاص واحد القنطرة تما باش تخفف على شارع الجيش الملكي,RAB,الي هبطتي مع هاد الشارع للي فصورة حتى الاخير خاص واحد القنطرة تما باش تخفف على شارع الجيش الملكي,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,0.9999925778598956,1.256789183561442e-08,5.56030938505056e-08,1.4804722528986506e-08,1.2557867311216143e-09,5.251858349487848e-07,2.478724381599819e-06,9.642196929933873e-09,1.8060804432400668e-06,2.0195501038354467e-08,2.1295464901149186e-06,4.443313035937451e-08,7.019371041418235e-08,1.1897198066171209e-07,7.852520170136024e-10,1.341496878970013e-07,2.4446919458920377e-08,3.5315789276859346e-07,2.0195501038354467e-08,0.9999970386726639,2.5627417705807374e-06,7.852520170136024e-10,2.230932796584122e-08,2.1295464901149186e-06,1.2311562320405473e-09,1.5680464911965693e-07,3.945383181004724e-09,1.62989387342767e-08,2.3199937656105797e-08,1.2557867311216143e-09,2.762280297968964e-07,4.465657516888601e-09,4.788438244834113e-08,5.56030938505056e-08,0.7980530076901631,1.12646295292201e-07,1.256789183561442e-08,1.4804722528986506e-08,4.934253968992015e-09,7.852520170136024e-10,1.1897198066171209e-07,0.20193957016973252,2.1503392604800305e-08,2.321919732480162e-06,2.0195501038354467e-08,1.1686097973613148e-06,2.489578051518884e-07,6.374706458787519e-07
