,sentence,label,stripped sentence,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis,sentence tokens,length of sentence
0,ياربي تسهل على كل شاب طموح مجتهد و تحققلوا كل ما يتمناه,RAB,ياربي تسهل على كل شاب طموح مجتهد و تحققلوا كل ما يتمناه,Gulf,RIY,Saudi Arabia,Riyadh,Maghreb,Morocco,Rabat,1.1545021555883938e-05,4.3518618202371204e-05,5.849325973449482e-07,0.0001407297732986851,2.1799206968985696e-06,1.3592491269892135e-05,2.915612093791825e-05,8.462673482213425e-06,0.011382897173501737,8.39944677743919e-06,8.281498764809738e-05,0.000250391153117941,2.4673769316388435e-07,0.0006119156229371054,0.0007939397088035129,0.0005663133372086043,1.9519853211835538e-05,3.8014823757841705e-06,0.002759705142050752,9.31578554822411e-07,0.9805267725404955,0.0022554604201268044,5.5772120995576535e-05,0.00020036666174644022,0.00021982737177682584,1.1155108936834758e-05,"['ياربي', 'تسهل', 'على', 'كل', 'شاب', 'طموح', 'مجتهد', 'و', 'تحققلوا', 'كل', 'ما', 'يتمناه']",12
1,الله يرحم ليكم الوالدين أنا ختكم أرملة بغيت شي مردي الولدين لي يعوني في سبيل الله بي حليب والكوش او شي حوايج واخة اكونو قدام,RAB,الله يرحم ليكم الوالدين أنا ختكم أرملة بغيت شي مردي الولدين لي يعوني في سبيل الله بي حليب والكوش او شي حوايج واخة اكونو قدام,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,1.3680442539087804e-07,1.802654055700939e-06,2.422309304349191e-09,1.2543726771451872e-07,4.9780757520985e-08,1.5500490215298867e-07,1.9991653738118875e-07,4.670332573145914e-08,1.5841321587974677e-06,6.000243066177797e-08,2.195677720321273e-07,0.0019997354772016704,0.9834351022304035,1.255855766226322e-06,7.453639993324418e-08,6.67182071014674e-07,2.0236862332574365e-08,7.082534306115342e-09,1.125290033713032e-06,0.014554281522652307,2.8529962164147795e-07,2.521792614075788e-07,4.3284326793489885e-07,8.03343965985919e-07,1.3569152883325183e-06,2.1757872724447484e-07,"['الله', 'يرحم', 'ليكم', 'الوالدين', 'أنا', 'ختكم', 'أرملة', 'بغيت', 'شي', 'مردي', 'الولدين', 'لي', 'يعوني', 'في', 'سبيل', 'الله', 'بي', 'حليب', 'والكوش', 'او', 'شي', 'حوايج', 'واخة', 'اكونو', 'قدام']",25
2,أو مواد غذائية الله يتبت أجركم الله يرحمنا ويرحمكم دنية وآخرة أنا ساكنه في مراكش,RAB,أو مواد غذائية الله يتبت أجركم الله يرحمنا ويرحمكم دنية وآخرة أنا ساكنه في مراكش,Modern Standard Arabic,MSA,Modern Standard Arabic,Modern Standard Arabic,Maghreb,Morocco,Rabat,0.000989449646818997,0.0001893149117640728,4.584680538362245e-05,0.007846957178535693,0.00012926196546173194,7.31075383377336e-05,3.0467184697194697e-05,6.567546018537572e-05,0.0040216701735717696,0.0005017637998108133,0.0032052583573040044,0.005054890660525489,5.668416261492836e-05,0.001429038693187813,0.0058258084966891135,0.008402334093146379,8.538350106971685e-07,0.6839192844530955,0.27399779356157217,1.2495348205400497e-05,0.0027374634130587334,0.0006891272007088912,0.00014967671991923011,9.791258653223297e-05,0.0005232933511287183,4.570402733986531e-06,"['أو', 'مواد', 'غذائية', 'الله', 'يتبت', 'أجركم', 'الله', 'يرحمنا', 'ويرحمكم', 'دنية', 'وآخرة', 'أنا', 'ساكنه', 'في', 'مراكش']",15
3,سير الله يسهل عليك ما صعاب و يعطيك ما تمنيت فهاد الليلة,RAB,سير الله يسهل عليك ما صعاب و يعطيك ما تمنيت فهاد الليلة,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,9.349574119911817e-06,0.00021667093372289132,1.835535763115301e-07,4.1157247449951574e-05,3.4445552056671666e-07,9.481794330923484e-06,1.1889707889252346e-05,1.4412210267987934e-05,0.00027127580830274924,3.818737328611821e-06,4.1045996888190314e-05,0.00011215059505237967,0.0024404599295492924,5.849930010685171e-05,5.1137150355747914e-05,4.2499121548824595e-05,1.7263210803271206e-06,2.6307371617035253e-07,3.465936367491888e-05,0.9189313159170697,9.164097212009759e-05,0.00021965689226102444,7.844040974251352e-06,0.02411297242660113,0.0008582693781455231,0.05241727549834642,"['سير', 'الله', 'يسهل', 'عليك', 'ما', 'صعاب', 'و', 'يعطيك', 'ما', 'تمنيت', 'فهاد', 'الليلة']",12
4,بغيت غير شي واحد يكون فايق يسمع هاد الدعيوة,RAB,بغيت غير شي واحد يكون فايق يسمع هاد الدعيوة,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,1.2144696158193334e-08,2.2142709131810465e-08,3.2271702772810505e-11,2.6050000133153476e-09,4.414733200945714e-11,3.7437550848747777e-10,4.0038514888310336e-10,2.6935902754394966e-10,8.940521985702983e-10,8.164027943230365e-11,4.450800721901085e-09,4.293002816130675e-08,0.0019225768567045758,3.231613526512513e-10,7.74650118175819e-11,4.113216883198169e-10,8.245537151143998e-11,1.3213762164709342e-11,5.584507746112728e-10,0.9980773303178488,2.623850808623499e-10,1.9649031251377598e-09,2.595738021828466e-10,1.327282821021325e-10,1.951864077509503e-09,4.1845894122356624e-10,"['بغيت', 'غير', 'شي', 'واحد', 'يكون', 'فايق', 'يسمع', 'هاد', 'الدعيوة']",9
5,مازالت العنصرية على أصحاب البشرة السوداء,RAB,مازالت العنصرية على أصحاب البشرة السوداء,Maghreb,BEN,Libya,Benghazi,Maghreb,Morocco,Rabat,0.001685776915273881,0.19804741459502806,0.0010832652450186299,0.030289074989160485,0.0009077315264306458,0.0019002936728155118,0.0022460296027614905,0.0005249913928321716,0.23026456056669925,0.003741387805044257,0.019797346378452922,0.009143014442549592,0.019453027126415796,0.08664692710871955,0.030667427743216867,0.004038582337017296,3.983441769130309e-05,0.00011834117402107554,0.02907414359507354,0.1947703397130008,0.08276843300665507,0.03451669189068005,0.0006977937092029035,0.0068902392790672114,0.0006876242650261238,0.009999707502145377,"['مازالت', 'العنصرية', 'على', 'أصحاب', 'البشرة', 'السوداء']",6
6,شحال من واحد دابا متكي على الوسادة ديالو مهموم كيخمم فالمستقبل,RAB,شحال من واحد دابا متكي على الوسادة ديالو مهموم كيخمم فالمستقبل,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,5.337592050585714e-11,7.753523195543069e-05,1.4963937274816756e-10,4.296322136012217e-10,1.8445549434828698e-10,1.3220459631681238e-10,1.1195583058611209e-10,1.5783476469013103e-11,1.6219531793645754e-09,2.5052673171040863e-10,2.6494641477636997e-10,5.410649547744565e-10,0.7495210823638557,2.160562525926115e-09,2.0292736733948705e-10,1.2472066695540679e-09,9.929323767780728e-12,4.0315252534616907e-11,1.150776388213906e-09,0.25040137175226257,3.0844591356435847e-10,6.676120145924988e-10,7.8983065684947e-11,4.1433637262658723e-10,3.1425837705018427e-10,3.0103500690954474e-10,"['شحال', 'من', 'واحد', 'دابا', 'متكي', 'على', 'الوسادة', 'ديالو', 'مهموم', 'كيخمم', 'فالمستقبل']",11
7,معالم بيه غير الله سير الله يسرلك طريقك و يسهل أمورك,RAB,معالم بيه غير الله سير الله يسرلك طريقك و يسهل أمورك,Maghreb,TRI,Libya,Tripoli,Maghreb,Morocco,Rabat,4.011059250163925e-06,9.620384771873259e-05,8.84909291072191e-07,9.55670059599218e-06,4.624379364055366e-06,4.5512334975925444e-05,2.172465057867543e-05,2.0582633152322398e-06,0.02942309247565712,2.2584495000480508e-05,1.7967257825346955e-05,0.00024459647378855226,1.5331598787094807e-06,0.0001775980343446442,1.8937167828597684e-05,0.00010510754035767723,1.1778787147803103e-06,1.4746197115654204e-07,6.750347189486411e-05,3.077159210401802e-05,0.0018242720197210141,8.045159766441415e-05,0.00010493553524098181,0.0030811688035964732,0.9645947868251677,1.8792064153554284e-05,"['معالم', 'بيه', 'غير', 'الله', 'سير', 'الله', 'يسرلك', 'طريقك', 'و', 'يسهل', 'أمورك']",11
8,لي باقي سهران يشرفنا بالحي ديالو ولي خارج الرباط يكتب المدينة ديالو مرحبا بكم فالصفحة,RAB,لي باقي سهران يشرفنا بالحي ديالو ولي خارج الرباط يكتب المدينة ديالو مرحبا بكم فالصفحة,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,Rabat,4.228564951106134e-08,0.00012794076677811824,5.530702031647066e-10,5.418703504436574e-08,3.040034290013402e-09,1.2470398636501351e-08,2.164695295203657e-08,8.682836204427689e-09,1.9955729431328077e-07,7.473637878374708e-09,9.544799764451347e-08,7.532155443982046e-06,0.08111031984885039,6.459480054917544e-06,3.4980095100412004e-08,2.1729651322246727e-07,1.1300578184803947e-09,1.539157701316281e-09,2.1428168986033973e-07,0.9187455388663909,8.644668510074322e-07,1.3031782771022834e-07,2.3314874092337531e-07,1.545371419251798e-08,3.717167154864069e-08,1.3751256045255978e-08,"['لي', 'باقي', 'سهران', 'يشرفنا', 'بالحي', 'ديالو', 'ولي', 'خارج', 'الرباط', 'يكتب', 'المدينة', 'ديالو', 'مرحبا', 'بكم', 'فالصفحة']",15
9,الي هبطتي مع هاد الشارع للي فصورة حتى الاخير خاص واحد القنطرة تما باش تخفف على شارع الجيش الملكي,RAB,الي هبطتي مع هاد الشارع للي فصورة حتى الاخير خاص واحد القنطرة تما باش تخفف على شارع الجيش الملكي,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,Rabat,2.230932796584122e-08,2.1295464901149186e-06,1.2311562320405473e-09,1.5680464911965693e-07,3.945383181004724e-09,1.62989387342767e-08,2.3199937656105797e-08,1.2557867311216143e-09,2.762280297968964e-07,4.465657516888601e-09,4.788438244834113e-08,5.56030938505056e-08,0.7980530076901631,1.12646295292201e-07,1.256789183561442e-08,1.4804722528986506e-08,4.934253968992015e-09,7.852520170136024e-10,1.1897198066171209e-07,0.20193957016973252,2.1503392604800305e-08,2.321919732480162e-06,2.0195501038354467e-08,1.1686097973613148e-06,2.489578051518884e-07,6.374706458787519e-07,"['الي', 'هبطتي', 'مع', 'هاد', 'الشارع', 'للي', 'فصورة', 'حتى', 'الاخير', 'خاص', 'واحد', 'القنطرة', 'تما', 'باش', 'تخفف', 'على', 'شارع', 'الجيش', 'الملكي']",19
