,sentence,label,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,وحق الرب الا العذاب عدنا الكورة حنا ف هاد إفريقي و كتسالي بالشوط التاني ديال البارصا و بيتيس و مول الحليب لاش كاين فاش كترجع بالزمن للوراء و تتقتل باك مكتختفيش و انما تتخلق جديدة او خط زمني جديد لي فيها مماتش باك اذن تتولد من جديد و الخط الزمني القديم متتولدش باش ميوقعش,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,2.98883253759414e-10,2.063553706370504e-06,6.421414880490755e-11,5.833635563379652e-10,2.472954422183452e-10,1.3757437469418587e-09,1.3133803196003895e-09,5.550895151790497e-10,4.778791373187552e-09,3.154555772639897e-09,1.3090282187658328e-09,1.9096532192399e-09,0.008340657013301743,3.5647358987320498e-09,9.081109460425955e-10,1.6307515376844356e-08,1.1670133504882195e-10,3.6416260136640325e-11,1.3290656314310808e-09,0.9916571479276416,2.079719543431424e-09,6.454549921534981e-09,1.2481847110680372e-09,3.483715155306054e-08,3.806930214172605e-08,1.0963898402516378e-08
1,الى رجعتي فالزمن للماضي..كايولي داك الماضي ليرجعتيليه نتا هوا المستقبل ديالك..والحاضر السابق ليكنتي فيه هوا الماضي ديالك ولي ميمكنش يتبدل بالمستقبل الجديد ليراك فيه....خط زمني أخر معندو تاعلاقة بلي قبل لا أخويا مكانديروش هكا هاد نوع مكنحسبهمش بشر,TMS,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,2.0415276403425642e-10,3.118675908758816e-07,2.6974058754052736e-11,4.24425671466027e-10,3.1198417413312364e-10,2.1874847145360959e-10,8.455649451632413e-11,3.548319970429957e-11,2.2644467697906032e-09,8.99468674198162e-10,4.834984918074265e-10,2.643319364670989e-10,0.9981431734154829,4.527789645958339e-09,2.0043049096657123e-10,2.6664060416413144e-09,3.540488686760717e-11,4.131578606709248e-11,1.3365471306659132e-09,0.0018564926490108676,4.534001879833335e-10,5.624198455423452e-10,1.8230334867594286e-10,1.1812570973727321e-09,3.6632669019765218e-09,1.9993031096103466e-09
2,مراكشية بي لايك ضحك ديال لقلاوي ياربي السلامة هاهوما جاو مقروصين غايجيو جاعرين بالجعورية و يكتبو الجملة الشهيرة راه غير خطة باش اعرف الاسرار ديالهم و يدمرهم العياشة كيضحكو لي طرا كيضحكو بيه ويطرو ليو بيه,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.349469679790216e-09,0.4539448593901629,1.2174449770948192e-09,1.2491828049425038e-08,9.686172476723009e-09,7.809342337166531e-08,7.373852103259344e-08,9.884549891290959e-09,4.931617599209142e-07,1.9258054744256868e-08,1.3909187725409487e-08,2.6776484280171258e-08,0.0003453301636568189,8.853141820211647e-08,1.445726186346216e-08,2.5720872370706566e-07,4.09389423207051e-09,1.5386572698838132e-09,5.241155806892848e-08,0.5456995715871293,1.1351668700350444e-07,1.535201149660311e-07,2.731695973102989e-08,5.099592456930902e-06,3.0156857156980625e-06,6.654187070964849e-07
3,تاثير الفراشة تخيل كن سمح محمد الخامس فالمقاومة ديال دزاير ومشا تفاوض على الاراضي ي اصلا مغربية غير اقتطتعها فرنسا وضمتها لدزاير و تخيل نتا دبا الارض لي كانت ديالك ولات كمخيم للواحد ناس باغين اقسمو ليك بلادك بنادم دبا تي قول علاش,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.9508947745825872e-09,0.0014931136731338808,6.395764534649284e-10,2.67185044261268e-09,5.567709308242762e-09,1.877297411893663e-09,2.3149410258392874e-09,6.445285124763482e-10,3.5610882846788687e-08,6.557111963876418e-09,2.665887029224429e-09,1.4166100805009702e-08,0.006842714107336367,3.02701397484382e-08,1.2159460518328287e-09,7.381621528328988e-08,7.955295224057025e-10,8.890616167512712e-10,2.1806855141228538e-08,0.9916638407674186,1.9121859258039034e-08,1.024043855802571e-08,5.806392380674442e-09,2.8056548698370134e-08,3.293955969811062e-08,3.182678440505684e-08
4,مامشاش محمد الخامس تفاوض على الاراضي مع فرنسا واش كون كنتي نتا بلاصتو ادير نفس البلان راه نفس اللعبة ديال اعتراف امريكا بالصحراء بصح مكنبغيش ندوز بلما ناكل بلا سوائل حسن ولا ندوز بلما ماشفيتش لي كايكمي مع الماكلة,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.386617545962179e-10,1.0766006481558195e-05,8.716507002731961e-11,4.987683435352415e-10,2.0826863631307766e-10,4.437050220784529e-10,6.112275795872739e-10,1.444352953502235e-10,4.779447388962509e-09,3.7186824325869167e-10,9.202168787125841e-10,1.0938077340091008e-09,0.3580777257161893,4.560147619693824e-09,2.522391946045498e-10,7.101913214001105e-10,1.9677853530581248e-10,3.3235095090927543e-11,7.213658778226392e-10,0.6419114644543917,4.3173564964649057e-10,1.5490324097322348e-09,6.451574104409096e-10,1.2443783674104066e-08,7.301912827718532e-09,5.079785624474085e-09
5,كاتلعب اونلاين اذن خصك دخل لهاد كروب كل نهار ماتشات فابور و لكن الهمزة ماشي اي ماتشات هنا فهاد الكروب فريق متخصصة فلعبة كيتفرجو فيهم او حافضين اللعابة كيفما كاتشوف فتصاور كوطاط الهربة دخل تأكد براسك نسبة التوقعات الصحيحة اكثر,TMS,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,3.296080105763235e-10,1.634237731470097e-07,2.24368179009871e-10,9.892154137181374e-10,6.433694351358214e-10,3.990118138564073e-09,3.601804707119042e-09,2.334059651365645e-10,2.5215515067709435e-08,8.922846291960763e-10,1.048695790708064e-09,3.963171768578462e-09,0.9999003509328753,4.957212108902345e-09,3.745332543692814e-10,4.052554168620152e-09,2.7457713451858864e-10,4.175119561603145e-11,1.2385459877714081e-08,9.937507122721792e-05,4.846216359698845e-09,1.291959102816372e-08,1.081700914128373e-09,1.3225984033867125e-08,1.1552099262892696e-08,3.728887802762482e-09
6,فاش كاتنوض من الفراش و تحيد التقاشر باش توضا واو هدشي كيقتل بدحك عين كتخرى وعين كتشوف الكاغيط مع الوقت ماتبقاش تلقاه حيتاش كنطلو على الغباء دياكم من الفوق الخوت شنو سميتو هاد خونا اللي فالفيديو مستوى الوزراء يا حصرة,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.0980372575706955e-08,1.0543080925974869e-05,1.0223106632547671e-09,5.61683658366693e-08,1.2081311598181148e-09,6.1613128210503405e-09,2.2619880520284683e-09,2.521295377742837e-09,1.4952768872639703e-07,4.6264829848646665e-09,5.286926326579006e-08,2.7696166502536474e-08,0.00825020880246874,7.699596949544992e-08,1.8830542588509523e-08,1.4789868863805212e-08,3.0022277143425644e-09,8.256131311431485e-11,9.536087414879151e-09,0.9917347072053833,1.3027560978700951e-08,2.842950999843507e-06,4.448471656664528e-09,1.0857875064872047e-06,7.91224437885047e-08,7.729360405478871e-08
7,كون غا خريتي و ماحطيتيش واش منيتك تادوي سير قارنها بين المدن الخرا وي بان ليك الفرق بديتو اتخورو حسدتي لي يلاه تي ديرو فيها جامعة وخا انا كاع ماشي ولد تما فاش كيليميني كيبغيو يديرو فيها ولاد الشعب زعما,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.446452977690922e-10,8.594627958397784e-06,5.704303029557062e-12,2.2844062715787204e-10,1.4447629716556928e-10,6.074942640068647e-11,6.719257319515804e-11,1.349926332385668e-10,2.5680976289072636e-09,2.2913914853547547e-10,5.90580455506551e-10,1.2199584312172203e-09,0.00012918852971847435,1.3014409107355004e-09,3.592456593740219e-10,1.2142867372482614e-09,6.168157624968781e-11,3.520634817394749e-12,2.7044321838268646e-10,0.9998621907223567,2.5796132155330374e-10,6.676005027154226e-10,4.1554509976901986e-10,4.227037064287559e-09,9.214699738820766e-09,2.5325271275639005e-09
8,ماشفتيش شلاضة بالخبز مشفتيش دلاح بالخبز عقلتي فاش كنا كنلعبو لفوق وكانت جدا كطيب الخبز وكنتي كتشدي خبز سخون كتمعسيه مع الما وكناكلوه من داك نهار مابقا كيعجبني الما مع الماكلة بغينا لخاوي بروجولة اما لي كايدوزو بتفال سطاج د الوحش هوما هادوك لي كاياكلو كسكسو بالخبز,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.9073807038391106e-09,6.591585058675352e-07,6.859521034394908e-11,1.0230263555098674e-09,4.718315520213017e-10,5.478501687908847e-10,5.585267082138099e-10,5.421510025335533e-10,2.2849780801344733e-09,4.669384034520914e-10,1.1996346522966204e-09,1.3727483482392196e-08,0.0005627431085800104,5.522050181462506e-09,7.846379559309875e-10,3.1930681242759786e-08,2.907679459664707e-10,7.004678179476285e-11,1.912714633034184e-09,0.9994364263693328,3.2152796169679046e-09,1.8216969385985323e-09,2.539042756375002e-09,6.672946269585869e-08,2.0229425587157983e-08,1.351937864323356e-08
9,شفت هاد طرول وانا نتفكرك و أنا اللي كاناكل كلشي حرفي و ما كاندوزش كتوحل ليا كندوز الدغمة لجنب للحنك و نتأكد أن الما ميقيصهاش عاد نشرب جغمة نسرح القوادس اصلا واخا نبغو نشوفو فيكم السحاب تي خبي لينا الشوف ملي كتكون فيك قل من ميطرو وثمانين فطول واخا يكون وجهو كي موكا والو مايتنازلش,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.4852140806260076e-10,5.208935199876656e-07,2.6827482083730407e-11,7.789550779209425e-10,1.4551943405825769e-10,1.1080758185280553e-10,1.565529637503974e-10,2.996540064476096e-10,1.5710662467872226e-08,5.644929679088103e-10,1.0015697410262645e-09,1.016932515059529e-09,0.277872501958927,5.223760584945187e-10,3.70051478473225e-10,1.1688573212913057e-09,4.094008994865648e-11,2.2837203527801204e-11,1.0085614112619614e-09,0.7221269421479308,1.6430544800127862e-10,2.5779375220865933e-09,2.4535544632365813e-10,1.0516102315070381e-09,4.630110901519568e-09,3.0361835230048234e-09
